student_id,gender,school_type,parent_edu,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,commute_min,final_score,grade_band,passed
S1040,F,Private,Bachelor,3.16,59.6,63.8,60.4,51.1,11.5,100.0,7.2,3,17.0,66.2,C,1
S1041,F,Public,Bachelor,3.08,69.2,59.9,59.7,57.6,6.4,56.9,5.7,3,5.0,70.0,B,1
S1042,M,Public,PhD,3.25,62.5,49.5,50.0,48.1,9.2,80.3,6.4,2,7.7,65.5,C,1
S1043,F,Public,Master,2.43,66.0,51.5,61.9,40.2,4.0,71.8,6.7,3,32.3,45.3,F,0
S1044,F,Private,Bachelor,3.1,65.6,63.2,60.0,37.0,13.1,79.2,6.1,2,23.7,67.5,C,1
S1045,F,Private,Master,3.06,72.9,64.3,61.2,55.7,7.9,95.7,4.2,1,25.1,63.5,C,1
S1046,M,Public,High School,3.12,79.8,66.2,64.5,46.3,7.3,70.5,6.0,5,28.2,63.8,C,1
S1047,M,Private,Bachelor,3.04,83.1,62.6,65.8,70.4,9.0,57.0,8.0,5,12.5,82.1,A,1
S1048,F,Charter,Bachelor,2.36,43.4,55.0,36.2,51.1,5.8,67.2,1.2,1,26.6,49.5,F,0
S1049,M,Charter,High School,2.34,56.7,61.0,61.9,57.4,8.4,65.4,2.0,1,28.1,56.1,D,1
S1050,F,Private,High School,1.89,56.5,52.5,44.0,43.4,8.2,42.2,4.6,1,9.0,51.8,D,1
S1051,F,Charter,High School,3.41,77.8,57.0,63.8,57.5,14.3,87.0,4.9,2,13.8,77.0,B,1
S1052,F,Private,Bachelor,3.41,60.9,47.3,73.2,42.0,9.5,69.9,7.1,7,28.8,63.6,C,1
S1053,F,Public,Master,3.42,66.4,54.1,78.8,40.3,11.6,83.2,8.1,9,33.4,63.6,C,1
S1054,F,Charter,PhD,3.15,72.6,79.0,47.1,59.4,14.1,77.2,2.4,7,12.1,68.0,C,1
S1055,M,Public,Bachelor,1.93,60.0,49.3,52.9,52.6,9.3,56.4,1.0,2,37.8,56.7,D,1
S1056,F,Public,Bachelor,2.49,67.9,74.3,60.0,31.4,4.3,85.6,5.6,2,18.4,56.6,D,1
S1057,M,Public,PhD,3.09,74.4,58.3,48.8,47.8,11.1,77.5,4.5,7,11.4,66.7,C,1
S1058,M,Charter,High School,3.07,73.4,56.4,69.3,75.3,10.5,81.3,0.6,6,53.3,68.0,C,1
S1059,F,Charter,Master,2.89,70.4,56.1,61.5,58.0,11.3,85.9,3.2,6,19.3,53.8,D,1
S1060,F,Public,Master,3.18,72.3,58.6,64.3,72.8,13.5,85.3,6.6,7,5.0,76.5,B,1
S1061,F,Public,High School,3.01,75.4,51.4,53.9,44.0,5.9,81.8,7.1,3,18.4,60.6,C,1
S1062,F,Public,Master,3.06,52.7,41.3,61.6,43.9,7.2,70.7,4.8,2,20.7,60.9,C,1
S1063,M,Private,Master,2.68,79.2,62.9,68.5,64.5,10.4,63.5,4.7,3,40.3,68.2,C,1
S1064,M,Public,High School,3.49,57.3,67.9,62.5,65.7,11.4,86.8,5.0,6,17.2,68.8,C,1
S1065,F,Private,High School,2.78,59.2,77.1,52.9,55.8,1.5,66.3,5.8,0,31.8,64.6,C,1
S1066,M,Public,High School,2.33,61.5,45.6,51.4,31.7,1.3,82.9,5.7,3,44.3,47.5,F,0
S1067,M,Public,Bachelor,2.61,71.5,51.5,61.0,63.6,9.4,74.6,5.1,1,18.2,70.1,B,1
S1068,M,Public,Bachelor,2.83,44.3,40.8,55.3,78.2,10.8,86.0,3.8,4,30.2,57.3,D,1
S1069,M,Public,Bachelor,3.5,74.7,73.9,73.1,40.8,6.9,73.1,6.6,6,21.6,79.1,B,1
S1070,M,Charter,High School,2.98,76.1,67.3,57.8,72.3,12.2,66.1,6.4,1,28.5,71.4,B,1
S1071,M,Public,PhD,2.91,77.0,50.1,50.9,45.2,8.0,99.2,4.3,2,27.0,46.4,F,0
S1072,M,Public,Bachelor,2.38,58.2,40.2,58.1,41.7,3.4,72.0,4.5,6,30.3,45.2,F,0
S1073,M,Public,High School,3.39,71.5,70.4,59.4,61.6,8.9,94.9,6.2,7,18.8,73.2,B,1
S1074,F,Public,Bachelor,2.67,61.8,56.4,64.5,36.8,4.0,59.8,6.5,0,27.0,51.9,D,1
S1075,M,Public,Bachelor,2.95,66.4,63.6,60.0,54.0,7.0,76.1,5.8,4,21.2,55.8,D,1
S1076,M,Public,Bachelor,3.74,69.1,54.0,71.2,36.6,6.4,100.0,5.4,9,56.3,72.0,B,1
S1077,F,Private,High School,3.25,65.4,39.3,52.5,55.5,9.8,63.8,7.9,4,32.8,50.9,D,1
S1078,M,Private,High School,2.19,65.3,41.2,56.5,71.8,7.5,99.2,3.4,2,29.1,59.2,D,1
S1079,F,Public,Master,2.12,62.2,55.4,47.8,40.5,1.4,73.6,2.0,2,24.4,47.7,F,0
S1080,F,Public,PhD,2.97,73.6,79.5,50.5,56.4,8.9,69.9,1.7,6,39.8,69.4,C,1
S1081,M,Charter,Bachelor,2.39,65.6,47.4,48.7,46.1,4.2,78.2,3.4,1,15.8,53.1,D,1
S1082,M,Public,Bachelor,3.32,78.9,85.4,59.8,73.5,12.3,96.6,9.0,4,5.0,64.8,C,1
S1083,F,Public,Bachelor,3.02,77.2,68.1,73.8,60.8,2.1,70.3,0.0,3,5.0,66.8,C,1
S1084,F,Public,Master,3.08,56.9,40.3,53.7,60.3,11.5,72.6,0.0,7,44.0,56.7,D,1
S1085,M,Public,Bachelor,2.65,59.6,53.9,45.4,44.4,2.1,79.5,5.2,3,45.5,54.5,D,1
S1086,F,Private,PhD,3.87,76.9,74.7,68.8,67.0,11.9,94.3,7.1,7,23.0,78.4,B,1
S1087,M,Public,Bachelor,4.0,79.8,43.7,69.2,25.0,10.9,87.6,8.3,5,11.6,64.3,C,1
S1088,F,Private,Bachelor,2.86,63.2,60.9,54.4,61.3,7.4,83.4,3.1,2,17.5,55.4,D,1
S1089,M,Public,Bachelor,3.18,79.1,73.3,62.4,43.3,5.1,92.0,0.7,2,54.7,68.8,C,1
S1090,F,Public,PhD,3.05,86.3,66.8,73.3,51.8,14.2,82.6,3.0,2,23.4,75.0,B,1
S1091,F,Private,Master,2.87,70.2,56.0,66.3,61.0,4.6,70.4,7.3,2,30.8,64.7,C,1
S1092,F,Public,High School,2.58,66.5,51.6,63.1,31.1,3.7,75.6,2.6,3,20.5,53.4,D,1
S1093,F,Private,Bachelor,2.46,71.4,51.5,47.4,62.0,12.2,95.7,2.3,3,29.1,55.7,D,1
S1094,M,Public,Bachelor,2.43,49.4,35.3,79.5,43.2,7.7,78.3,0.0,3,33.5,49.0,F,0
S1095,M,Private,Bachelor,3.2,72.3,52.8,72.1,70.4,6.0,96.9,1.4,2,51.1,68.9,C,1
S1096,M,Public,Master,2.74,75.2,53.0,65.1,39.9,7.6,71.2,6.1,4,25.0,60.5,C,1
S1097,M,Charter,Master,1.71,52.0,43.6,39.2,25.0,3.1,70.3,0.8,3,39.2,43.6,F,0
S1098,F,Public,Master,3.22,62.4,51.3,69.3,52.3,4.8,91.8,7.0,6,18.5,59.3,D,1
S1099,M,Charter,PhD,2.98,68.3,48.2,56.0,57.7,6.6,97.8,2.9,2,27.9,60.3,C,1
S1100,M,Public,High School,3.67,76.2,72.0,64.5,68.2,11.6,100.0,3.2,5,26.8,67.7,C,1
S1101,F,Private,Master,3.19,64.6,61.0,45.9,41.3,13.5,68.4,4.4,4,21.0,58.2,D,1
S1102,F,Public,Master,2.26,79.4,49.4,47.3,27.9,5.5,86.4,1.5,4,32.3,47.8,F,0
S1103,F,Charter,Bachelor,1.89,55.0,49.7,55.3,41.9,4.2,89.1,0.0,3,19.9,53.4,D,1
S1104,F,Public,Master,2.64,57.2,46.4,65.3,54.8,5.1,69.5,2.0,2,34.3,65.2,C,1
S1105,M,Public,High School,2.69,66.1,54.6,64.5,56.4,11.0,66.1,3.4,5,27.4,55.3,D,1
S1106,M,Public,Master,3.47,82.0,74.4,72.1,78.6,13.6,84.4,4.7,2,14.4,82.3,A,1
S1107,F,Public,Bachelor,3.0,70.1,51.5,60.4,47.1,11.4,82.1,2.6,2,23.3,64.3,C,1
S1108,F,Public,High School,3.57,79.6,52.9,62.7,32.7,11.6,81.5,9.5,1,41.8,61.8,C,1
S1109,M,Charter,Bachelor,2.34,56.4,47.0,56.9,61.5,1.6,59.1,3.8,7,26.7,49.6,F,0
S1110,F,Charter,Bachelor,3.48,86.7,52.5,74.6,56.6,14.2,100.0,6.0,3,29.0,67.7,C,1
S1111,M,Public,High School,3.36,78.1,59.9,64.8,58.9,10.6,73.3,5.3,2,29.6,66.7,C,1
S1112,M,Charter,High School,1.99,68.3,46.6,65.5,54.6,4.0,63.8,3.3,2,38.7,52.3,D,1
S1113,F,Private,Bachelor,3.66,79.5,40.7,64.9,67.4,13.0,87.9,7.2,8,5.1,67.9,C,1
S1114,F,Public,Bachelor,3.05,77.1,65.3,53.9,55.0,9.9,62.8,2.5,2,9.2,62.1,C,1
S1115,F,Private,Master,3.2,65.0,55.6,61.1,67.8,6.6,63.4,1.9,2,12.8,68.6,C,1
S1116,M,Private,PhD,2.57,61.7,63.6,57.7,59.1,6.3,70.5,0.0,2,36.3,62.2,C,1
S1117,F,Charter,Bachelor,3.64,87.1,69.6,67.5,51.5,5.8,96.3,9.7,4,25.7,71.2,B,1
S1118,M,Public,Master,2.41,76.5,62.4,70.3,48.6,6.9,76.3,2.1,1,31.1,59.0,D,1
S1119,M,Private,Bachelor,3.42,65.0,71.0,69.7,66.0,14.7,59.4,6.7,4,21.1,69.2,C,1
S1120,F,Public,Master,3.41,76.1,61.1,51.8,47.6,5.3,100.0,5.9,4,5.0,65.7,C,1
S1121,F,Public,High School,2.51,61.7,51.3,70.2,59.8,7.4,84.7,5.1,5,18.4,60.0,C,1
S1122,F,Public,Bachelor,3.99,74.3,50.5,43.1,58.2,15.0,92.2,6.9,10,23.2,67.6,C,1
S1123,F,Charter,Bachelor,3.12,73.4,71.8,81.7,61.9,11.9,83.1,2.1,3,21.9,77.1,B,1
S1124,F,Charter,High School,3.33,82.4,62.2,62.9,73.2,8.1,91.4,3.2,4,26.0,70.5,B,1
S1125,F,Private,Master,2.24,66.0,40.5,53.9,49.3,2.6,100.0,1.9,3,5.5,57.5,D,1
S1126,M,Private,Master,4.0,77.4,74.6,67.9,63.3,11.2,100.0,3.8,10,19.8,66.9,C,1
S1127,M,Public,Bachelor,2.39,68.0,30.5,60.4,42.3,10.1,77.4,1.3,2,5.0,45.1,F,0
S1128,M,Public,Bachelor,3.51,72.2,57.7,64.5,54.1,5.9,70.4,3.4,8,5.0,75.6,B,1
S1129,M,Public,Master,2.5,68.3,62.3,56.5,55.6,3.4,77.0,2.6,0,12.9,56.7,D,1
S1130,F,Public,Master,2.69,78.1,53.2,72.5,66.9,6.4,86.2,2.7,6,5.0,66.5,C,1
S1131,F,Private,High School,3.39,57.3,49.5,65.9,45.7,7.7,82.6,5.7,4,11.0,67.6,C,1
S1132,M,Private,Bachelor,3.51,81.5,60.6,57.8,48.2,10.9,78.9,7.5,4,26.6,69.0,C,1
S1133,M,Public,Bachelor,2.36,51.3,30.0,60.1,58.5,10.7,80.3,2.4,2,45.7,56.0,D,1
S1134,F,Public,Bachelor,3.55,85.3,73.3,72.0,53.0,7.6,73.6,2.9,4,14.2,76.6,B,1
S1135,M,Public,High School,3.52,70.1,60.2,59.3,59.0,10.7,95.6,1.7,6,12.5,72.3,B,1
S1136,F,Public,Bachelor,2.53,55.6,46.9,62.4,41.0,7.1,70.1,3.7,2,25.5,56.1,D,1
S1137,F,Charter,Master,3.8,83.6,64.9,67.1,38.8,11.2,62.5,5.2,6,17.0,74.4,B,1
S1138,F,Private,Bachelor,2.27,65.6,50.9,53.8,50.2,1.4,67.3,2.4,3,13.4,49.9,F,0
S1139,F,Charter,PhD,2.69,58.9,58.4,54.7,65.2,5.8,76.2,4.4,1,34.7,61.8,C,1
S1140,F,Public,Master,3.24,62.4,56.5,39.1,53.3,8.1,89.0,8.0,6,19.4,58.1,D,1
S1141,M,Public,PhD,2.57,64.2,39.0,52.5,28.6,9.2,81.0,0.0,3,17.2,49.7,F,0
S1142,F,Public,High School,3.13,61.7,61.8,66.5,56.2,10.8,65.8,2.8,3,15.8,56.7,D,1
S1143,F,Charter,Master,3.12,62.7,61.2,60.1,45.6,4.8,82.7,4.6,0,59.7,58.9,D,1
S1144,M,Private,High School,2.91,70.0,58.9,48.9,25.0,7.5,72.7,2.0,2,37.1,54.8,D,1
S1145,F,Public,Bachelor,3.42,66.4,70.3,71.5,57.4,9.2,79.8,2.6,1,17.8,77.9,B,1
S1146,F,Private,Bachelor,2.89,72.3,57.6,58.1,58.8,14.4,66.9,6.8,0,5.0,62.3,C,1
S1147,F,Public,Bachelor,3.12,83.1,73.4,53.3,71.8,10.3,80.5,2.7,4,5.0,71.5,B,1
S1148,F,Private,Master,3.57,74.5,77.2,85.2,82.0,8.1,100.0,3.3,2,23.4,86.8,A,1
S1149,F,Charter,Master,3.4,75.0,67.8,54.9,65.5,8.3,100.0,3.2,4,18.7,62.3,C,1
S1150,F,Private,High School,3.39,90.1,59.0,75.3,66.7,9.4,71.9,7.7,2,5.8,71.5,B,1
S1151,F,Private,Bachelor,2.43,54.8,47.3,47.6,32.3,7.8,75.0,1.7,2,25.9,53.1,D,1
S1152,F,Public,Bachelor,3.26,82.2,75.5,66.2,78.4,11.5,78.9,2.4,4,12.5,87.5,A,1
S1153,F,Public,Bachelor,2.56,74.2,40.5,51.1,61.9,7.8,77.3,1.7,6,17.6,46.4,F,0
S1154,F,Public,Master,2.36,70.4,48.9,46.1,43.4,5.8,84.6,2.8,5,25.6,51.4,D,1
S1155,F,Public,Bachelor,2.96,80.0,56.8,67.5,60.9,8.4,78.1,6.2,1,9.9,69.4,C,1
S1156,M,Private,PhD,2.55,67.7,44.8,61.5,54.7,6.8,66.9,5.0,3,6.5,61.1,C,1
S1157,F,Private,High School,3.4,69.3,69.0,73.5,75.6,5.2,97.8,3.9,3,5.0,83.7,A,1
S1158,F,Public,Bachelor,3.41,82.8,68.2,65.7,56.0,10.4,69.3,4.5,3,16.9,67.8,C,1
S1159,M,Charter,Bachelor,2.05,69.5,43.1,75.2,35.8,3.5,72.8,6.3,3,6.0,51.8,D,1
S1160,F,Public,High School,2.59,74.7,61.9,61.9,46.3,2.4,58.0,5.5,2,59.9,51.4,D,1
S1161,M,Public,Bachelor,2.27,63.1,48.4,60.3,58.0,13.3,60.4,2.2,3,42.7,57.4,D,1
S1162,M,Public,Master,2.77,62.0,44.5,45.8,25.7,9.0,86.6,0.0,3,37.0,52.9,D,1
S1163,F,Public,Master,3.23,73.8,53.2,57.6,25.0,9.9,74.1,4.2,7,10.6,69.6,C,1
S1164,M,Public,Bachelor,2.88,76.3,62.8,66.2,64.6,7.4,56.3,1.5,6,12.9,74.9,B,1
S1165,F,Public,Bachelor,2.71,75.2,66.3,59.5,57.1,10.0,68.4,2.0,5,5.2,71.5,B,1
S1166,F,Public,High School,3.65,73.1,58.4,67.2,56.8,8.1,76.5,4.2,5,49.3,65.6,C,1
S1167,F,Charter,High School,1.85,61.0,51.6,44.9,30.2,3.5,53.3,1.2,0,50.9,47.4,F,0
S1168,M,Public,Bachelor,3.62,65.7,76.7,65.0,40.5,8.6,92.8,6.2,7,32.0,70.5,B,1
S1169,M,Public,High School,2.73,75.2,44.4,61.5,40.9,10.1,58.7,2.4,3,24.5,60.0,D,1
S1170,F,Public,Master,2.96,63.3,58.8,48.8,57.6,6.4,72.6,1.8,1,19.4,59.2,D,1
S1171,F,Private,Master,2.74,73.6,64.9,65.9,46.6,11.2,79.0,3.5,4,33.9,69.2,C,1
S1172,F,Public,PhD,3.77,68.5,61.9,50.0,68.9,11.8,83.6,5.4,4,45.1,67.1,C,1
S1173,M,Charter,Bachelor,2.38,72.1,65.9,59.4,40.7,8.9,69.0,0.0,2,37.7,60.3,C,1
S1174,F,Private,PhD,3.01,72.6,80.3,77.5,52.6,10.2,71.4,5.7,2,8.3,78.4,B,1
S1175,F,Private,Bachelor,3.26,66.4,61.8,68.0,64.0,13.2,68.0,3.7,5,12.2,79.3,B,1
S1176,F,Private,Bachelor,2.19,67.5,48.4,61.7,42.3,3.0,64.3,1.9,2,36.0,48.7,F,0
S1177,M,Public,PhD,2.54,60.7,61.0,48.3,47.8,9.9,83.3,2.9,2,14.3,58.7,D,1
S1178,F,Public,Bachelor,2.93,75.3,66.9,77.5,47.4,3.1,74.1,4.3,2,18.3,68.5,C,1
S1179,F,Public,High School,2.56,63.4,30.0,69.4,34.1,7.4,77.6,3.7,3,49.9,58.0,D,1
S1180,F,Private,Master,2.59,52.2,49.1,47.4,53.2,5.7,89.3,0.9,1,22.3,60.6,C,1
S1181,M,Public,PhD,2.83,60.4,49.4,53.8,56.0,4.1,85.4,4.7,5,5.0,54.9,D,1
S1182,F,Public,Master,3.32,69.8,63.8,74.2,59.1,7.6,67.9,4.6,5,66.7,68.9,C,1
S1183,F,Charter,Bachelor,2.83,79.2,57.0,78.0,44.8,6.4,83.7,6.2,3,42.2,64.9,C,1
S1184,M,Public,Bachelor,3.54,82.6,64.5,55.4,55.1,10.6,98.0,7.5,4,21.3,71.3,B,1
S1185,F,Charter,PhD,2.5,78.0,47.5,50.6,67.3,5.4,68.0,5.9,1,27.4,62.3,C,1
S1186,F,Private,High School,2.37,77.0,62.2,57.3,34.1,6.7,54.7,1.1,5,5.0,54.9,D,1
S1187,M,Public,Bachelor,3.96,75.4,82.9,48.3,86.9,10.4,84.3,9.5,8,14.3,86.7,A,1
S1188,M,Public,High School,2.67,65.2,45.1,58.2,49.6,6.3,79.0,3.9,4,15.5,46.7,F,0
S1189,F,Public,Bachelor,2.34,60.2,35.7,65.8,42.2,5.5,80.6,4.2,3,29.7,45.4,F,0
S1190,M,Private,Bachelor,2.13,55.9,46.9,40.0,57.6,6.1,65.0,3.7,1,53.8,52.0,D,1
S1191,F,Private,High School,3.54,60.6,58.4,63.5,31.2,13.7,60.9,6.8,4,28.9,62.2,C,1
S1192,M,Private,High School,2.83,68.2,67.4,54.4,71.3,10.9,63.0,1.9,3,56.3,62.3,C,1
S1193,F,Charter,Bachelor,2.87,58.4,40.8,72.7,70.6,9.2,83.1,6.1,6,5.0,66.6,C,1
S1194,M,Private,High School,2.92,68.9,51.2,55.2,64.2,10.0,100.0,5.0,7,5.0,65.6,C,1
S1195,F,Public,High School,3.51,92.0,46.4,82.1,27.7,12.0,84.8,2.8,5,41.1,74.2,B,1
S1196,F,Public,Master,2.91,65.0,69.1,54.1,64.7,7.7,94.9,3.3,2,27.0,58.7,D,1
S1197,F,Charter,Bachelor,4.0,81.6,71.0,76.3,81.2,15.7,77.3,4.6,8,27.0,86.1,A,1
S1198,F,Public,Bachelor,3.07,77.9,55.7,65.3,71.5,6.5,72.9,1.8,1,24.3,71.1,B,1
S1199,M,Public,PhD,3.53,77.6,50.5,64.5,37.1,5.0,57.2,7.5,0,25.3,58.2,D,1
S1200,F,Private,High School,3.4,76.4,50.1,57.6,65.5,7.5,88.5,2.5,5,33.3,65.8,C,1
S1201,M,Public,Bachelor,2.98,66.9,60.6,63.2,75.4,13.1,69.1,1.8,2,28.9,72.2,B,1
S1202,M,Charter,Bachelor,2.71,65.2,42.8,54.3,48.3,6.9,84.3,7.7,3,17.9,61.5,C,1
S1203,M,Private,Master,3.17,64.0,58.0,54.6,36.6,10.5,75.6,4.0,4,59.1,58.8,D,1
S1204,F,Public,PhD,3.26,79.3,82.6,77.6,70.6,9.2,100.0,6.5,2,25.1,71.2,B,1
S1205,F,Charter,PhD,2.71,53.2,46.8,60.9,61.7,9.5,98.7,6.0,4,23.4,65.3,C,1
S1206,F,Public,Master,3.08,78.6,51.1,69.0,50.3,9.5,53.2,6.3,6,19.4,64.7,C,1
S1207,M,Public,High School,3.62,65.0,64.4,60.2,43.7,11.3,93.3,6.3,4,27.0,56.6,D,1
S1208,M,Public,High School,4.0,87.7,58.1,68.9,70.0,14.8,81.1,6.9,8,16.4,75.8,B,1
S1209,F,Public,Bachelor,3.43,71.4,78.3,61.6,51.2,9.3,92.0,6.6,6,5.0,75.3,B,1
S1210,M,Public,High School,3.93,69.5,78.4,69.5,67.8,13.8,73.2,6.4,4,16.5,71.4,B,1
S1211,M,Public,Master,2.69,71.5,53.9,65.2,69.4,7.2,94.1,5.1,1,10.3,63.8,C,1
S1212,M,Public,Bachelor,3.35,80.9,54.4,65.0,34.2,10.1,95.9,4.9,2,27.3,62.5,C,1
S1213,F,Public,High School,3.67,73.2,59.2,58.5,67.8,9.2,69.7,5.9,3,21.2,69.3,C,1
S1214,F,Private,Master,2.55,71.3,51.6,65.4,46.9,6.6,73.3,7.1,2,17.3,56.2,D,1
S1215,M,Charter,High School,2.76,49.3,53.3,55.7,48.7,6.4,79.5,2.9,7,40.3,57.5,D,1
S1216,M,Public,Bachelor,3.87,68.1,73.9,52.9,67.7,15.9,97.3,6.7,4,19.6,72.0,B,1
S1217,F,Public,Bachelor,2.51,75.5,45.1,39.9,38.3,2.0,75.0,4.1,3,21.8,53.5,D,1
S1218,F,Public,Bachelor,2.33,61.5,60.0,58.0,36.3,9.0,82.7,3.8,4,22.9,52.8,D,1
S1219,M,Public,Bachelor,3.76,62.7,67.2,56.7,38.0,6.8,86.8,7.0,4,15.4,70.4,B,1
S1220,F,Private,High School,3.6,70.4,57.0,68.5,70.8,13.0,93.3,3.5,4,29.6,71.4,B,1
S1221,M,Private,Bachelor,3.22,64.8,46.7,54.3,47.0,7.4,65.7,5.4,4,12.2,52.5,D,1
S1222,M,Public,Master,2.98,68.4,58.0,61.8,60.0,10.6,79.5,4.9,1,26.2,59.7,D,1
S1223,F,Public,PhD,2.78,64.8,43.7,55.2,42.8,7.8,91.6,6.2,2,18.5,49.1,F,0
S1224,M,Public,Bachelor,3.14,72.8,69.6,78.2,42.9,5.3,98.3,6.3,4,14.6,62.1,C,1
S1225,F,Private,Bachelor,3.79,77.3,54.4,75.8,64.1,16.2,90.0,8.9,4,28.1,67.6,C,1
S1226,M,Public,Master,3.12,82.1,67.5,76.3,60.2,11.8,80.0,2.8,2,10.4,66.5,C,1
S1227,M,Charter,PhD,4.0,83.4,68.2,69.9,58.0,14.5,100.0,5.0,3,27.8,76.7,B,1
S1228,F,Private,High School,2.55,69.2,48.3,65.5,52.2,5.3,74.3,4.0,4,31.9,61.7,C,1
S1229,M,Public,Bachelor,2.99,79.2,59.2,63.6,42.0,11.4,93.6,6.7,5,45.0,56.9,D,1
S1230,F,Private,Master,2.81,65.0,65.4,72.1,66.9,4.4,76.9,3.6,5,5.0,61.7,C,1
S1231,M,Charter,Bachelor,2.46,54.5,36.9,54.0,60.8,1.0,75.1,1.7,2,43.0,55.0,D,1
S1232,M,Private,High School,2.92,78.9,55.5,49.7,61.3,4.0,66.0,1.1,4,20.8,60.4,C,1
S1233,M,Public,Bachelor,3.21,73.2,52.5,44.9,48.5,7.1,67.1,5.7,4,5.0,50.6,D,1
S1234,F,Public,High School,3.26,73.7,60.2,78.3,55.8,7.8,94.4,4.9,6,13.8,69.3,C,1
S1235,M,Charter,Bachelor,4.0,74.9,59.6,72.3,77.5,11.7,100.0,6.1,14,27.7,78.4,B,1
S1236,F,Private,Bachelor,3.23,67.4,40.8,66.8,65.5,8.8,83.6,6.9,2,22.6,65.0,C,1
S1237,M,Private,Master,3.58,82.5,55.0,80.4,79.3,9.4,83.8,5.8,6,42.3,86.8,A,1
S1238,F,Charter,Bachelor,3.03,78.2,76.6,48.0,48.7,2.8,92.6,4.6,3,19.8,59.7,D,1
S1239,M,Charter,High School,3.84,84.7,70.7,65.7,50.2,12.9,92.4,8.4,4,20.3,79.6,B,1
S1240,F,Charter,High School,4.0,86.3,72.0,68.1,63.4,12.2,61.2,11.4,3,17.2,77.8,B,1
S1241,F,Public,Master,3.27,77.2,58.8,70.7,59.7,8.0,94.6,4.3,3,8.3,70.8,B,1
S1242,F,Private,High School,2.5,66.1,52.1,51.0,47.6,11.2,59.0,1.5,5,27.1,52.3,D,1
S1243,F,Private,Bachelor,2.73,65.9,49.9,47.7,45.2,7.2,77.1,1.8,7,23.1,51.3,D,1
S1244,F,Private,High School,3.14,81.1,67.2,53.2,71.5,9.7,76.1,5.8,5,25.6,62.3,C,1
S1245,F,Private,Master,3.23,69.3,60.0,72.6,53.8,12.3,74.6,2.9,7,24.7,60.3,C,1
S1246,M,Public,Bachelor,3.35,76.5,50.3,57.7,38.5,5.9,84.1,4.6,6,23.3,64.3,C,1
S1247,M,Private,Bachelor,3.23,65.9,60.5,56.6,41.8,9.9,93.0,4.5,2,25.3,59.1,D,1
S1248,F,Private,Bachelor,3.0,64.8,31.4,65.7,49.6,11.4,80.4,7.6,4,41.5,70.3,B,1
S1249,F,Public,Master,2.68,64.9,57.7,51.8,87.6,7.5,93.7,6.1,1,11.9,60.7,C,1
S1250,F,Public,Bachelor,3.2,65.6,43.6,46.0,38.9,5.9,100.0,1.9,4,13.1,58.1,D,1
S1251,F,Public,Master,3.93,85.7,68.2,55.5,56.7,11.3,100.0,10.0,2,41.6,73.2,B,1
S1252,M,Public,Master,3.51,64.3,47.7,62.4,82.1,11.6,84.4,3.3,3,41.5,59.1,D,1
S1253,M,Public,PhD,3.27,73.5,60.6,67.8,49.4,3.7,76.9,5.5,5,27.5,58.5,D,1
S1254,F,Public,Bachelor,3.51,76.2,69.0,63.5,64.0,7.0,84.7,4.1,5,52.8,63.4,C,1
S1255,M,Private,PhD,2.81,53.7,66.2,60.5,76.9,14.2,91.6,3.3,5,33.3,72.7,B,1
S1256,M,Private,High School,2.75,63.9,38.4,43.7,35.7,9.4,90.2,1.9,1,54.4,56.9,D,1
S1257,F,Private,Bachelor,2.63,68.3,63.9,44.5,49.2,12.0,45.1,6.9,4,48.8,67.8,C,1
S1258,M,Charter,Master,2.94,72.8,59.2,81.5,47.4,11.3,83.0,4.1,5,49.7,55.7,D,1
S1259,F,Public,High School,2.79,66.3,50.3,70.1,32.1,9.3,49.5,4.4,0,8.8,51.3,D,1
S1260,M,Public,High School,3.6,81.5,73.1,73.8,78.9,10.5,85.8,3.9,2,32.0,81.1,A,1
S1261,F,Charter,Bachelor,2.76,66.7,52.4,53.0,43.6,9.2,71.3,1.1,2,24.9,52.9,D,1
S1262,M,Public,Bachelor,2.6,66.1,60.5,55.7,41.4,11.7,65.9,2.6,2,6.9,61.4,C,1
S1263,M,Charter,Bachelor,3.97,81.7,58.4,69.2,52.9,15.4,99.9,8.0,8,40.2,71.4,B,1
S1264,M,Charter,Master,2.77,75.2,51.0,72.5,61.5,8.6,70.0,3.7,7,44.0,61.5,C,1
S1265,M,Private,Master,3.08,65.4,66.1,64.2,57.0,8.8,80.7,6.6,5,22.4,56.3,D,1
S1266,M,Charter,Bachelor,3.23,68.4,73.6,66.8,48.8,11.4,71.1,5.3,3,14.6,65.2,C,1
S1267,M,Public,High School,2.43,59.0,49.6,53.9,53.2,5.1,75.2,3.1,0,28.7,55.6,D,1
S1268,F,Public,PhD,3.62,73.5,35.3,72.5,60.4,13.0,97.7,7.1,0,5.0,61.9,C,1
S1269,M,Private,High School,3.32,84.6,62.3,68.6,55.6,8.2,72.7,5.5,6,5.0,69.9,C,1
S1270,F,Public,High School,3.78,82.4,67.4,68.5,56.7,11.1,95.5,8.3,4,16.6,68.6,C,1
S1271,F,Charter,High School,2.66,57.6,48.9,49.8,61.5,4.6,77.3,4.8,6,35.9,51.3,D,1
S1272,F,Public,Bachelor,3.05,65.7,59.9,59.4,51.8,7.9,81.1,6.4,3,22.0,58.6,D,1
